date_filed,entry_number,description
2026-03-06,26.0,"Memorandum in opposition to re 8 MOTION to Stay OR IN THE ALTERNATIVE MOTION for Preliminary Injunction filed by JESSICA BOWRON, DOUG BURGUM, DEPARTMENT OF INTERIOR, NATIONAL PARK SERVICE. (Attachments: # 1 Declaration Exhibit 1 - Declaration of Jennifer T. Nersesian, # 2 Exhibit Nersesian Exhibits A - G, # 3 Exhibit Nersesian Exhibits H - L, # 4 Declaration Exhibit 2 - Declaration of Jessica Bowron, # 5 Exhibit Bowron Exhibits A - C, # 6 Exhibit Exhibit 3)(Robertson, Michael) (Entered: 03/06/2026)"
2026-03-06,25.0,"NOTICE of Appearance by Lindsay Zimliki on behalf of All Plaintiffs (Zimliki, Lindsay) (Entered: 03/06/2026)"
2026-03-06,24.0,"NOTICE of Appearance by John P. Bolen on behalf of All Plaintiffs (Bolen, John) (Entered: 03/06/2026)"
2026-03-03,23.0,"RETURN OF SERVICE/AFFIDAVIT of Summons and Complaint Executed as to the United States Attorney. Date of Service Upon United States Attorney on 2/25/2026. Answer due for ALL FEDERAL DEFENDANTS by 4/26/2026. (Bardwell, Will) (Entered: 03/03/2026)"
2026-03-03,,
2026-03-03,18.0,"RETURN OF SERVICE/AFFIDAVIT of Summons and Complaint Executed. NATIONAL PARK SERVICE served on 2/24/2026 (Bardwell, Will) (Entered: 03/03/2026)"
2026-03-03,22.0,"RETURN OF SERVICE/AFFIDAVIT of Summons and Complaint Executed on United States Attorney General. Date of Service Upon United States Attorney General 2/25/2026. (Bardwell, Will) (Entered: 03/03/2026)"
2026-03-03,19.0,"RETURN OF SERVICE/AFFIDAVIT of Summons and Complaint Executed. JESSICA BOWRON served on 2/24/2026 (Bardwell, Will) (Entered: 03/03/2026)"
2026-03-03,20.0,"RETURN OF SERVICE/AFFIDAVIT of Summons and Complaint Executed. DOUG BURGUM served on 2/24/2026 (Bardwell, Will) (Entered: 03/03/2026)"
2026-03-03,21.0,"RETURN OF SERVICE/AFFIDAVIT of Summons and Complaint Executed. DEPARTMENT OF INTERIOR served on 2/26/2026 (Bardwell, Will) (Entered: 03/03/2026)"
2026-03-02,,Set/Reset Deadlines: Response due by 3/6/2026 (zglw)
2026-03-02,,"MINUTE ORDER granting 16 Unopposed Motion for Extension of Time. The Court ORDERS Defendants to file their response to Plaintiffs' motion on or before March 6, 2026. Signed by Judge Ana C. Reyes on 03/02/2026. (lcacr3)"
2026-03-02,,
2026-03-02,,MINUTE ORDER granting 13 Motion for Leave for Lindsay Zimliki to Appear Pro Hac Vice. Counsel should register for e-filing via PACER and file a notice of appearance pursuant to LCvR 83.6(a). Click for instructions. Signed by Judge Ana C. Reyes on 03/02/2026. (lcacr3)
2026-03-02,,
2026-03-02,,
2026-02-28,17.0,"NOTICE of Proposed Order by JESSICA BOWRON, DOUG BURGUM, DEPARTMENT OF INTERIOR, NATIONAL PARK SERVICE re 16 Unopposed MOTION for Extension of Time to File Response/Reply as to 8 MOTION to Stay OR IN THE ALTERNATIVE MOTION for Preliminary Injunction (Attachments: # 1 Text of Proposed Order)(Robertson, Michael) (Entered: 02/28/2026)"
2026-02-27,16.0,"Unopposed MOTION for Extension of Time to File Response/Reply as to 8 MOTION to Stay OR IN THE ALTERNATIVE MOTION for Preliminary Injunction by JESSICA BOWRON, DOUG BURGUM, DEPARTMENT OF INTERIOR, NATIONAL PARK SERVICE. (Robertson, Michael) (Entered: 02/27/2026)"
2026-02-26,,
2026-02-26,15.0,"NOTICE of Appearance by Abbe David Lowell on behalf of All Plaintiffs (Lowell, Abbe) (Entered: 02/26/2026)"
2026-02-26,,NOTICE OF ERROR regarding 14 Notice of Appearance. The following error(s) need correction: Other- Pro Hac Vice appearance has not yet been granted. (znmw)
2026-02-25,13.0,"MOTION for Leave to Appear Pro Hac Vice :Attorney Name- Lindsay W. Zimliki, Filing fee $ 100, receipt number ADCDC-12265249. Fee Status: Fee Paid. by DC PRESERVATION LEAGUE, ALEX DICKSON, DAVE ROBERTS. (Attachments: # 1 Declaration PHV Declaration, # 2 Supplement Certificate of Good Standing, # 3 Text of Proposed Order Proposed Oder)(Eisen, Norman) (Entered: 02/25/2026)"
2026-02-25,11.0,"NOTICE of Appearance by Norman Larry Eisen on behalf of All Plaintiffs (Eisen, Norman) (Entered: 02/25/2026)"
2026-02-25,14.0,"ENTERED IN ERROR.....NOTICE of Appearance by Lindsay Zimliki on behalf of All Plaintiffs (Zimliki, Lindsay) Modified on 2/25/2026 (znmw). (Entered: 02/25/2026)"
2026-02-25,12.0,"NOTICE of Appearance by Robin F. Thurston on behalf of All Plaintiffs (Thurston, Robin) (Entered: 02/25/2026)"
2026-02-25,9.0,"NOTICE of Appearance by Michael Keith Robertson on behalf of All Defendants (Robertson, Michael) (Entered: 02/25/2026)"
2026-02-25,10.0,STANDING ORDER. The Court ORDERS the parties to comply with its Standing Order. See Order for details. Signed by Judge Ana C. Reyes on 02/25/2026. (lcacr3) (Entered: 02/25/2026)
2026-02-24,,"MINTUE ORDER. The Court ORDERS the parties to contact the Courtroom Deputy, Chashawn White (chashawn_white@dcd.uscourts.gov) to schedule a case management status conference in this action between March 3 and March 13, 2026. Defendants' shall file their opposition to Plaintiffs' Motion on or before March 3, 2026. The Court further ORDERS Plaintiffs' counsel to inform Defendants' counsel of this Minute Order as soon as possible. Signed by Judge Ana C. Reyes on 02/24/2026. (lcacr3)"
2026-02-24,,
2026-02-24,,Set/Reset Deadlines/Hearings: Response to 8 due by 3/3/2026. (zcdw)
2026-02-24,,
2026-02-24,,
2026-02-23,8.0,"MOTION to Stay OR IN THE ALTERNATIVE, MOTION for Preliminary Injunction by DC PRESERVATION LEAGUE, ALEX DICKSON, DAVE ROBERTS. (Attachments: # 1 Memorandum in Support, # 2 Text of Proposed Order, # 3 Exhibit Index, # 4 Declaration Declaration of Alex Dickson, # 5 Declaration Declaration of Rebecca Miller, # 6 Declaration Declaration of Dave Roberts, # 7 Declaration Declaration of Will Bardwell, # 8 Exhibit A, # 9 Exhibit B, # 10 Exhibit C, # 11 Exhibit D, # 12 Exhibit E, # 13 Exhibit F, # 14 Exhibit G, # 15 Exhibit H, # 16 Exhibit I, # 17 Exhibit J, # 18 Exhibit K, # 19 Exhibit L, # 20 Exhibit M, # 21 Exhibit N, # 22 Exhibit O, # 23 Exhibit P)(Samburg, Mark) (Entered: 02/23/2026)"
2026-02-18,7.0,"SUMMONS (6) Issued Electronically as to All Defendants, U.S. Attorney and U.S. Attorney General (Attachments: # 1 Notice and Consent)(zmtm) (Entered: 02/18/2026)"
2026-02-18,,
2026-02-18,,Case Assigned to Judge Ana C. Reyes. (zmtm)
2026-02-17,5.0,"ERRATA by DC PRESERVATION LEAGUE, ALEX DICKSON, DAVE ROBERTS re 1 Complaint,,,. (Attachments: # 1 PLAINTIFFS COMPLAINT FOR DECLARATORY AND INJUNCTIVE RELIEF)(Bardwell, Will) (Entered: 02/17/2026)"
2026-02-17,,
2026-02-17,6.0,"SEALED DOCUMENT filed by DC PRESERVATION LEAGUE, ALEX DICKSON, DAVE ROBERTS re 5 Errata (This document is SEALED and only available to authorized persons.)(Bardwell, Will) (Entered: 02/17/2026)"
2026-02-17,,NOTICE OF NEW CASE ERROR The following error(s) need correction: Noncompliance with LCvR 5.1(c). Please file a Notice of Errata stating the error and attach the corrected initiating pleading to include the name & full residence address of each party and file using the event Errata. COMPLIANCE DEADLINE is by close of business today. This case will not proceed any further until all errors are satisfied. (zmtm)
2026-02-13,3.0,"LCvR 26.1 CERTIFICATE OF DISCLOSURE of Corporate Affiliations and Financial Interests by Alex Dickson, D.C. Preservation League, Dave Roberts (Samburg, Mark) (Entered: 02/13/2026)"
2026-02-13,2.0,"NOTICE of Appearance by Mark Samburg on behalf of Alex Dickson, D.C. Preservation League, Dave Roberts (Samburg, Mark) (Entered: 02/13/2026)"
2026-02-13,4.0,"NOTICE of Appearance by Catherine Carroll on behalf of All Plaintiffs (Carroll, Catherine) (Entered: 02/13/2026)"
2026-02-13,1.0,"COMPLAINT against JESSICA BOWRON, DOUG BURGUM, DEPARTMENT OF INTERIOR, NATIONAL PARK SERVICE ( Filing fee $ 405 receipt number ADCDC-12244857) filed by D.C. Preservation League, Alex Dickson, Dave Roberts. (Attachments: # 1 Exhibit A, # 2 Exhibit B, # 3 Exhibit C, # 4 Exhibit D- Part 1, # 5 Exhibit D- Part 2, # 6 Exhibit D- Part 3, # 7 Exhibit E, # 8 Exhibit F, # 9 Civil Cover Sheet, # 10 Summons to Jessica Bowron, in her official capacity as ""Comptroller Exercising the Delegated Authority of the Director"" of the National Park Service, # 11 Summons to Doug Burgum, in his official capacity as Secretary of the Interior, # 12 Summons to U.S. Department of the Interior, # 13 Summons to National Parks Service, # 14 Summons to Pam Bondi, in her official capacity as U.S. Attorney General, # 15 Summons to U.S. Attorney's Office for the District of Columbia)(Bardwell, Will) (Entered: 02/13/2026)"
